Vivado Simulator 2017.2
Time resolution is 1 ps
Configuration completed                      0 ns
1. Accuracy: 100.000000, Detected number: 7, Expected: 0007
2. Accuracy: 100.000000, Detected number: 2, Expected: 0002
3. Accuracy: 100.000000, Detected number: 1, Expected: 0001
4. Accuracy: 100.000000, Detected number: 0, Expected: 0000
5. Accuracy: 100.000000, Detected number: 4, Expected: 0004
6. Accuracy: 100.000000, Detected number: 1, Expected: 0001
7. Accuracy: 100.000000, Detected number: 4, Expected: 0004
8. Accuracy: 100.000000, Detected number: 9, Expected: 0009
9. Accuracy: 88.888889, Detected number: 6, Expected: 0005
10. Accuracy: 90.000000, Detected number: 9, Expected: 0009
11. Accuracy: 90.909091, Detected number: 0, Expected: 0000
12. Accuracy: 91.666667, Detected number: 6, Expected: 0006
13. Accuracy: 92.307692, Detected number: 9, Expected: 0009
14. Accuracy: 92.857143, Detected number: 0, Expected: 0000
15. Accuracy: 86.666667, Detected number: 8, Expected: 0001
16. Accuracy: 87.500000, Detected number: 5, Expected: 0005
17. Accuracy: 88.235294, Detected number: 9, Expected: 0009
18. Accuracy: 88.888889, Detected number: 7, Expected: 0007
19. Accuracy: 89.473684, Detected number: 3, Expected: 0003
20. Accuracy: 90.000000, Detected number: 4, Expected: 0004
21. Accuracy: 90.476190, Detected number: 9, Expected: 0009
22. Accuracy: 90.909091, Detected number: 6, Expected: 0006
23. Accuracy: 91.304348, Detected number: 6, Expected: 0006
24. Accuracy: 91.666667, Detected number: 5, Expected: 0005
25. Accuracy: 92.000000, Detected number: 4, Expected: 0004
26. Accuracy: 92.307692, Detected number: 0, Expected: 0000
27. Accuracy: 92.592593, Detected number: 7, Expected: 0007
28. Accuracy: 92.857143, Detected number: 4, Expected: 0004
29. Accuracy: 93.103448, Detected number: 0, Expected: 0000
30. Accuracy: 93.333333, Detected number: 1, Expected: 0001
31. Accuracy: 93.548387, Detected number: 3, Expected: 0003
32. Accuracy: 93.750000, Detected number: 1, Expected: 0001
33. Accuracy: 93.939394, Detected number: 3, Expected: 0003
34. Accuracy: 94.117647, Detected number: 4, Expected: 0004
35. Accuracy: 94.285714, Detected number: 7, Expected: 0007
36. Accuracy: 94.444444, Detected number: 2, Expected: 0002
37. Accuracy: 94.594595, Detected number: 7, Expected: 0007
38. Accuracy: 94.736842, Detected number: 1, Expected: 0001
39. Accuracy: 94.871795, Detected number: 2, Expected: 0002
40. Accuracy: 92.500000, Detected number: 8, Expected: 0001
41. Accuracy: 92.682927, Detected number: 1, Expected: 0001
42. Accuracy: 92.857143, Detected number: 7, Expected: 0007
43. Accuracy: 93.023256, Detected number: 4, Expected: 0004
44. Accuracy: 93.181818, Detected number: 2, Expected: 0002
45. Accuracy: 93.333333, Detected number: 3, Expected: 0003
46. Accuracy: 93.478261, Detected number: 5, Expected: 0005
47. Accuracy: 91.489362, Detected number: 3, Expected: 0001
48. Accuracy: 91.666667, Detected number: 2, Expected: 0002
49. Accuracy: 91.836735, Detected number: 4, Expected: 0004
50. Accuracy: 92.000000, Detected number: 4, Expected: 0004
51. Accuracy: 92.156863, Detected number: 6, Expected: 0006
52. Accuracy: 92.307692, Detected number: 3, Expected: 0003
53. Accuracy: 92.452830, Detected number: 5, Expected: 0005
54. Accuracy: 92.592593, Detected number: 5, Expected: 0005
55. Accuracy: 92.727273, Detected number: 6, Expected: 0006
56. Accuracy: 92.857143, Detected number: 0, Expected: 0000
57. Accuracy: 92.982456, Detected number: 4, Expected: 0004
58. Accuracy: 93.103448, Detected number: 1, Expected: 0001
59. Accuracy: 93.220339, Detected number: 9, Expected: 0009
60. Accuracy: 93.333333, Detected number: 5, Expected: 0005
61. Accuracy: 91.803279, Detected number: 9, Expected: 0007
62. Accuracy: 91.935484, Detected number: 8, Expected: 0008
63. Accuracy: 92.063492, Detected number: 9, Expected: 0009
64. Accuracy: 92.187500, Detected number: 3, Expected: 0003
65. Accuracy: 90.769231, Detected number: 3, Expected: 0007
66. Accuracy: 90.909091, Detected number: 4, Expected: 0004
67. Accuracy: 91.044776, Detected numbe
